"Harrison","Ford","Steven Spielberg","1984"
"Morgan","Freeman","Louis Leterrier","2005"
"Andy","Garcia","Steven Soderbergh","2001"
"Jennifer","Garner","Mark Steven Johnson","2003"
"Richard","Gere","Gary Marshall","1990"
"Mel","Gibson","Wes Anderson","2001"
"Hugh","Grant","Chris Weitz","2002"
"Hugh","Grant","Steven Soderbergh","2004"
"Tom","Hanks","Robert Zemeckis","1994"
"Tom","Hanks","Steven Spielberg","1998"
"Tom","Hanks","Steven Spielberg","2002"
"Ethan","Hawke","Antonie Fuqua","2001"
"Ethan","Hawke","Richard Linklater","1995"
"Martin","Henderson","Gurinder Chadha","2005"
"Dustin","Hoffman","Frederik Du Chau","2005"
"Samuel","Jackson","Thomas Carter","2005"
"Samuel","Jackson","George Lucas","2005"
"Scarlett","Johansson","Sofia Coppola","2003"
"Angelina","Jolie","Doug Liman","2005"
"Angelina","Jolie","Dominic Sena","2000"
"Angelina","Jolie","Oliver Stone","2004"
"Nicole","Kidman","Anthony Minghella","2003"
"Nicole","Kidman","Jonathan Glazer","2004"
"Nicole","Kidman","Baz Luhrmann","2001"
"Nicole","Kidman","Alejandro Amenabar","2001"
"Jude","Law","Brad Silberling","2004"
"Jude","Law","Anthony Minghella","2003"
"Jet","Li","Yimou Zhang","2002"
"Jet","Li","Louis Leterrier","2005"
"Tobey","Maguire","Sam Raimi","2004"
"Tobey","Maguire","Sam Raimi","2005"
"Tobey","Maguire","Christopher Nolan","2005"
"Ewan","McGregor","George Lucas","2005"
"Ewan","McGregor","Chris Wedge","2005"
"Michael","Moore","Michael Moore","2002"
"Brad","Pitt","Steven Soderbergh","1995"
"Brad","Pitt","Doug Liman","2005"
"Brad","Pitt","Steven Soderbergh","2001"
"Brad","Pitt","Guy Ritchie","2000"
"Brad","Pitt","David Fincher","1995"
"Brad","Pitt","Terry Gilliam","1995"
"Brad","Pitt","Steven Soderbergh","2001"
"Brad","Pitt","Guy Ritchie","2000"
"Brad","Pitt","Steven Soderbergh","2001"
"Brad","Pitt","Steven Soderbergh","2004"
"Brad","Pitt","Wolfgang Peterson","2004"
"Brad","Pitt","Steven Soderbergh","2004"
"Natalie","Portman","George Lucas","2005"
"Natalie","Portman","George Lucas","2005"
"Keanu","Reeves","Wachowski Brothers","2003"
"Keanu","Reeves","Wachowski Brothers","2003"
"Keanu","Reeves","Alfonso Arau","1995"
"Julia","Roberts","Steven Soderbergh","1995"
"Julia","Roberts","Gary Marshall","1990"
"Julia","Roberts","Roger Michell","1999"
"Julia","Roberts","Chris Columbus","1998"
"Julia","Roberts","Steven Soderbergh","2004"
"Julia","Roberts","Steven Soderbergh","2001"
"Julia","Roberts","Steven Soderbergh","2001"
"Will","Smith","Barry Sonnenfeld","1997"
"Will","Smith","Barry Sonnenfeld","2002"
"Will","Smith","Andy Tennant","2005"
"Ben","Stiller","Ben Stiller","2001"
"Ben","Stiller","John Hamburg","2004"
"Ben","Stiller","Todd Phillips","2004"
"Audrey","Tautou","Jean-Pierre Jeunet","2001"
"Liv","Tyler","Peter Jackson","2003"
"Liv","Tyler","Peter Jackson","2002"
"Liv","Tyler","Peter Jackson","2003"
"Liv","Tyler","Peter Jackson","2002"
"Denzel","Washington","Phillip Noyce","1999"
"Denzel","Washington","Jonathan Demme","1993"
"Denzel","Washington","Edward Zwick","1996"
"Sigourney","Weaver","Ridley Scott","1979"
"Sigourney","Weaver","James Cameron","1986"
"Sigourney","Weaver","David Fincher","1992"
"Robin","Williams","Chris Columbus","1999"
"Robin","Williams","Christopher Nolan","2002"
"Bruce","Willis","Florent Emilio Siri","2005"
"Bruce","Willis","Terry Gilliam","1995"
"Owen","Wilson","Ben Stiller","2001"
"Owen","Wilson","Wes Anderson","2004"
"Elijah","Wood","Peter Jackson","2003"
"Elijah","Wood","Peter Jackson","2002"
"Renee","Zellweger","Ron Howard","2005"
"Catherine","Zeta-Jones","Steven Soderbergh","2001"
"Catherine","Zeta-Jones","Steven Soderbergh","2000"
"Catherine","Zeta-Jones","Steven Spielberg","2004"
"Catherine","Zeta-Jones","Joel Coen","2003"
"Catherine","Zeta-Jones","Steven Soderbergh","2004"
